Sample5;;Sample5;;Sample5;;Sample5;
Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs
;;;;;;;
;;;;;;;
800.06519;-0.00812;800.06519;-0.0086;800.06519;-0.00662;800.06519;-0.00775
798.95801;-0.00837;798.95801;-0.0086;798.95801;-0.00662;798.95801;-0.00797
797.98883;-0.00914;797.98883;-0.00901;797.98883;-0.00701;797.98883;-0.00885
797.01923;-0.00873;797.01923;-0.00885;797.01923;-0.00731;797.01923;-0.00835
796.04926;-0.00862;796.04926;-0.00842;796.04926;-0.00669;796.04926;-0.0079
794.94031;-0.00826;794.94031;-0.00837;794.94031;-0.00686;794.94031;-0.00792
793.96954;-0.00881;793.96954;-0.00804;793.96954;-0.00694;793.96954;-0.00804
792.99841;-0.00833;792.99841;-0.00815;792.99841;-0.00727;792.99841;-0.00763
792.02692;-0.00899;792.02692;-0.00881;792.02692;-0.00766;792.02692;-0.00834
791.05505;-0.00839;791.05505;-0.00813;791.05505;-0.00705;791.05505;-0.00707
789.94385;-0.00825;789.94385;-0.00789;789.94385;-0.00745;789.94385;-0.00738
788.97119;-0.00835;788.97119;-0.00781;788.97119;-0.00785;788.97119;-0.00729
787.99811;-0.00846;787.99811;-0.00779;787.99811;-0.00768;787.99811;-0.00779
787.02472;-0.00861;787.02472;-0.00776;787.02472;-0.00767;787.02472;-0.00766
786.0509;-0.00862;786.0509;-0.00815;786.0509;-0.00776;786.0509;-0.00761
784.93756;-0.00901;784.93756;-0.00816;784.93756;-0.00862;784.93756;-0.00759
783.96295;-0.00853;783.96295;-0.00705;783.96295;-0.0081;783.96295;-0.00705
782.98798;-0.00846;782.98798;-0.00654;782.98798;-0.00803;782.98798;-0.00669
782.01263;-0.00884;782.01263;-0.00733;782.01263;-0.0081;782.01263;-0.0076
781.03693;-0.0086;781.03693;-0.00682;781.03693;-0.00814;781.03693;-0.00714
780.06085;-0.00913;780.06085;-0.00738;780.06085;-0.00831;780.06085;-0.00749
778.94495;-0.00919;778.94495;-0.00707;778.94495;-0.00858;778.94495;-0.00727
777.96808;-0.00858;777.96808;-0.007;777.96808;-0.00835;777.96808;-0.00737
776.99084;-0.00866;776.99084;-0.00706;776.99084;-0.00838;776.99084;-0.00724
776.01324;-0.00925;776.01324;-0.00752;776.01324;-0.00912;776.01324;-0.00753
775.03528;-0.0093;775.03528;-0.00764;775.03528;-0.0087;775.03528;-0.00772
774.05695;-0.00877;774.05695;-0.00706;774.05695;-0.00817;774.05695;-0.00711
772.93842;-0.00878;772.93842;-0.00782;772.93842;-0.00809;772.93842;-0.00734
771.95929;-0.00863;771.95929;-0.00792;771.95929;-0.00818;771.95929;-0.00752
770.97986;-0.00883;770.97986;-0.00808;770.97986;-0.00849;770.97986;-0.00746
770;-0.00861;770;-0.00763;770;-0.00856;770;-0.00745
769.01978;-0.00881;769.01978;-0.00842;769.01978;-0.00859;769.01978;-0.00804
768.03925;-0.00865;768.03925;-0.00874;768.03925;-0.0088;768.03925;-0.00787
767.05829;-0.0081;767.05829;-0.00886;767.05829;-0.00862;767.05829;-0.00781
765.93677;-0.0084;765.93677;-0.00902;765.93677;-0.00868;765.93677;-0.00813
764.95508;-0.00805;764.95508;-0.00862;764.95508;-0.00796;764.95508;-0.00805
763.97302;-0.0078;763.97302;-0.00866;763.97302;-0.00824;763.97302;-0.00778
762.9906;-0.00776;762.9906;-0.00871;762.9906;-0.00748;762.9906;-0.00795
762.00781;-0.00765;762.00781;-0.00857;762.00781;-0.00777;762.00781;-0.00824
761.02466;-0.0076;761.02466;-0.00876;761.02466;-0.00766;761.02466;-0.0082
760.04114;-0.00778;760.04114;-0.00901;760.04114;-0.00746;760.04114;-0.00807
759.05731;-0.00799;759.05731;-0.00901;759.05731;-0.00748;759.05731;-0.00856
757.93243;-0.00763;757.93243;-0.00882;757.93243;-0.00743;757.93243;-0.00835
756.94781;-0.00753;756.94781;-0.00885;756.94781;-0.00682;756.94781;-0.00807
755.96283;-0.00757;755.96283;-0.00881;755.96283;-0.007;755.96283;-0.00822
754.97748;-0.00751;754.97748;-0.00868;754.97748;-0.00672;754.97748;-0.00823
753.99176;-0.00788;753.99176;-0.00905;753.99176;-0.00718;753.99176;-0.00859
753.00568;-0.00775;753.00568;-0.00947;753.00568;-0.00773;753.00568;-0.0091
752.01929;-0.00796;752.01929;-0.00878;752.01929;-0.00777;752.01929;-0.00875
751.03253;-0.00781;751.03253;-0.00893;751.03253;-0.00787;751.03253;-0.00878
750.04541;-0.00834;750.04541;-0.00879;750.04541;-0.00794;750.04541;-0.00872
749.05792;-0.00844;749.05792;-0.00903;749.05792;-0.00821;749.05792;-0.00878
